"","ID","State","StateName","JobCode","JobName","TotalEmployment","AverageHourlySalary","AverageYearlySalary"
"1","20","KS","Kansas","41-2012","Gaming change persons and booth cashiers",100,10.13,21070
"2","35","NM","New Mexico","37-3012","Pesticide handlers, sprayers, and applicators, vegetation",100,10.21,21230
"3","55","WI","Wisconsin","39-3019","Gaming service workers, all other",100,10.29,21400
"4","78","VI","Virgin Islands","43-2011","Switchboard operators, including answering service",100,10.31,21450
"5","56","WY","Wyoming","47-3016","Helpers--roofers",100,10.39,21600
"6","40","OK","Oklahoma","51-9193","Cooling and freezing equipment operators and tenders",100,10.48,21790
"7","78","VI","Virgin Islands","21-1093","Social and human service assistants",100,10.66,22170
"8","56","WY","Wyoming","13-2082","Tax preparers",100,10.73,22320
"9","20","KS","Kansas","51-4052","Pourers and casters, metal",100,10.78,22420
"10","16","ID","Idaho","51-4035","Milling and planing machine setters, operators, and tenders, metal and plastic",100,11.02,22920
"11","15","HI","Hawaii","39-2011","Animal trainers",100,11.07,23030
"12","38","ND","North Dakota","45-4011","Forest and conservation workers",100,11.14,23160
"13","28","MS","Mississippi","51-9131","Photographic process workers",100,11.21,23310
"14","54","WV","West Virginia","51-9191","Cementing and gluing machine operators and tenders",100,11.3,23500
"15","33","NH","New Hampshire","31-9095","Pharmacy aides",100,11.33,23580
"16","35","NM","New Mexico","51-9131","Photographic process workers",100,11.34,23590
"17","56","WY","Wyoming","27-3011","Radio and television announcers",100,11.34,23590
"18","21","KY","Kentucky","33-3041","Parking enforcement workers",100,11.35,23610
"19","56","WY","Wyoming","35-2019","Cooks, all other",100,11.36,23620
"20","05","AR","Arkansas","29-2056","Veterinary technologists and technicians",100,11.43,23760
"21","28","MS","Mississippi","39-6021","Tour guides and escorts",100,11.59,24120
"22","78","VI","Virgin Islands","25-2011","Preschool teachers, except special education",100,11.6,24130
"23","16","ID","Idaho","35-2019","Cooks, all other",100,11.62,24160
"24","11","DC","District of Columbia","35-9099","Food preparation and serving related workers, all other",100,11.77,24480
"25","48","TX","Texas","45-2099","Agricultural workers, all other",100,11.86,24670
"26","10","DE","Delaware","51-9083","Ophthalmic laboratory technicians",100,11.91,24760
"27","15","HI","Hawaii","51-9131","Photographic process workers",100,11.91,24770
"28","38","ND","North Dakota","31-9093","Medical equipment preparers",100,11.91,24770
"29","15","HI","Hawaii","21-2099","Religious workers, all other",100,12,24950
"30","38","ND","North Dakota","43-9071","Office machine operators, except computer",100,12.08,25130
"31","46","SD","South Dakota","31-9093","Medical equipment preparers",100,12.2,25370
"32","01","AL","Alabama","49-9095","Manufactured building and mobile home installers",100,12.24,25460
"33","16","ID","Idaho","31-9093","Medical equipment preparers",100,12.32,25630
"34","11","DC","District of Columbia","51-6021","Pressers, textile, garment, and related materials",100,12.33,25650
"35","21","KY","Kentucky","51-9194","Etchers and engravers",100,12.34,25670
"36","46","SD","South Dakota","51-9192","Cleaning, washing, and metal pickling equipment operators and tenders",100,12.34,25670
"37","56","WY","Wyoming","37-3012","Pesticide handlers, sprayers, and applicators, vegetation",100,12.36,25700
"38","39","OH","Ohio","31-2012","Occupational therapist aides",100,12.37,25730
"39","38","ND","North Dakota","49-3053","Outdoor power equipment and other small engine mechanics",100,12.4,25800
"40","27","MN","Minnesota","43-3041","Gaming cage workers",100,12.44,25870
"41","24","MD","Maryland","51-6092","Fabric and apparel patternmakers",100,12.5,26000
"42","23","ME","Maine","51-7099","Woodworkers, all other",100,12.55,26100
"43","30","MT","Montana","47-3016","Helpers--roofers",100,12.57,26140
"44","21","KY","Kentucky","51-7099","Woodworkers, all other",100,12.63,26260
"45","02","AK","Alaska","51-9193","Cooling and freezing equipment operators and tenders",100,12.67,26360
"46","48","TX","Texas","47-5051","Rock splitters, quarry",100,12.72,26460
"47","32","NV","Nevada","51-9022","Grinding and polishing workers, hand",100,12.74,26500
"48","56","WY","Wyoming","43-9011","Computer operators",100,12.88,26800
"49","49","UT","Utah","51-4194","Tool grinders, filers, and sharpeners",100,12.95,26940
"50","33","NH","New Hampshire","43-9081","Proofreaders and copy markers",100,13,27040
"51","49","UT","Utah","49-2096","Electronic equipment installers and repairers, motor vehicles",100,13.09,27230
"52","50","VT","Vermont","51-7099","Woodworkers, all other",100,13.09,27220
"53","45","SC","South Carolina","39-2011","Animal trainers",100,13.11,27280
"54","54","WV","West Virginia","45-4023","Log graders and scalers",100,13.11,27270
"55","13","GA","Georgia","49-9061","Camera and photographic equipment repairers",100,13.16,27370
"56","09","CT","Connecticut","51-6064","Textile winding, twisting, and drawing out machine setters, operators, and tenders",100,13.26,27590
"57","46","SD","South Dakota","51-2011","Aircraft structure, surfaces, rigging, and systems assemblers",100,13.26,27580
"58","50","VT","Vermont","51-7021","Furniture finishers",100,13.28,27630
"59","44","RI","Rhode Island","51-9123","Painting, coating, and decorating workers",100,13.31,27690
"60","54","WV","West Virginia","51-4194","Tool grinders, filers, and sharpeners",100,13.42,27900
"61","49","UT","Utah","49-2092","Electric motor, power tool, and related repairers",100,13.45,27980
"62","26","MI","Michigan","39-3092","Costume attendants",100,13.46,28000
"63","31","NE","Nebraska","53-7031","Dredge operators",100,13.46,28000
"64","56","WY","Wyoming","49-3052","Motorcycle mechanics",100,13.48,28040
"65","15","HI","Hawaii","51-7042","Woodworking machine setters, operators, and tenders, except sawing",100,13.51,28100
"66","04","AZ","Arizona","51-9191","Cementing and gluing machine operators and tenders",100,13.56,28200
"67","50","VT","Vermont","45-4022","Logging equipment operators",100,13.61,28300
"68","13","GA","Georgia","51-6092","Fabric and apparel patternmakers",100,13.73,28550
